x,y,z
-15000,-15000,354.5570356
-15000,-14500,354.5647792
-15000,-14000,354.5802528
-15000,-13500,354.6034281
-15000,-13000,354.6342582
-15000,-12500,354.6726744
-15000,-12000,354.7185812
-15000,-11500,354.7718516
-15000,-11000,354.8323239
-15000,-10500,354.8997989
-15000,-10000,354.974039
-15000,-9500,355.0547695
-15000,-9000,355.141682
-15000,-8500,355.2344395
-15000,-8000,355.3326833
-15000,-7500,355.4360408
-15000,-7000,355.5441335
-15000,-6500,355.6565858
-15000,-6000,355.773031
-15000,-5500,355.8931178
-15000,-5000,356.0165128
-15000,-4500,356.1429023
-15000,-4000,356.2719909
-15000,-3500,356.4034982
-15000,-3000,356.5371542
-15000,-2500,356.6726932
-15000,-2000,356.8098477
-15000,-1500,356.9483427
-15000,-1000,357.0878917
-15000,-500,357.2281938
-15000,0,357.3689337
-15000,500,357.5097845
-15000,1000,357.6504128
-15000,1500,357.7904858
-15000,2000,357.9296807
-15000,2500,358.0676951
-15000,3000,358.2042568
-15000,3500,358.3391338
-15000,4000,358.4721423
-15000,4500,358.603152
-15000,5000,358.7320895
-15000,5500,358.858937
-15000,6000,358.9837297
-15000,6500,359.1065492
-15000,7000,359.2275149
-15000,7500,359.3467743
-15000,8000,359.4644926
-15000,8500,359.580843
-15000,9000,359.6959982
-15000,9500,359.8101242
-15000,10000,359.9233776
-15000,10500,360.0359052
-15000,11000,360.1478471
-15000,11500,360.259343
-15000,12000,360.3705397
-15000,12500,360.4816011
-15000,13000,360.5927177
-15000,13500,360.7041152
-15000,14000,360.8160621
-15000,14500,360.9288736
-15000,15000,361.0429126
-15000,15500,361.1585868
-15000,16000,361.2763425
-15000,16500,361.3966538
-15000,17000,361.5200106
-15000,17500,361.6469033
-15000,18000,361.7778075
-15000,18500,361.9131694
-15000,19000,362.0533917
-15000,19500,362.1988231
-15000,20000,362.3497504
-15000,20500,362.5063944
-15000,21000,362.6689097
-15000,21500,362.8373874
-15000,22000,363.0118608
-15000,22500,363.1923127
-15000,23000,363.3786824
-15000,23500,363.5708729
-15000,24000,363.768755
-15000,24500,363.9721683
-15000,25000,364.1809189
-15000,25500,364.3947713
-15000,26000,364.6134364
-15000,26500,364.836556
-15000,27000,365.0636824
-15000,27500,365.2942578
-15000,28000,365.5275908
-15000,28500,365.7628356
-15000,29000,365.998971
-15000,29500,366.2347837
-15000,30000,366.4688545
-15000,30500,366.6995484
-15000,31000,366.9250109
-15000,31500,367.1431701
-15000,32000,367.3517519
-15000,32500,367.5483119
-15000,33000,367.7302901
-15000,33500,367.8950432
-15000,34000,368.0412131
-15000,34500,368.1682771
-15000,35000,368.2762756
-15000,35500,368.365669
-15000,36000,368.4371671
-15000,36500,368.4917918
-15000,37000,368.5308572
-15000,37500,368.5559109
-15000,38000,368.5686562
