x,y,z
-15000,-15000,68.82349806
-15000,-14500,68.8165946
-15000,-14000,68.80280848
-15000,-13500,68.78218079
-15000,-13000,68.75477201
-15000,-12500,68.72066058
-15000,-12000,68.67994131
-15000,-11500,68.63272349
-15000,-11000,68.57912896
-15000,-10500,68.51929019
-15000,-10000,68.45334854
-15000,-9500,68.38145274
-15000,-9000,68.30375775
-15000,-8500,68.22042387
-15000,-8000,68.1316164
-15000,-7500,68.03750552
-15000,-7000,67.93826658
-15000,-6500,67.83408062
-15000,-6000,67.72513502
-15000,-5500,67.61162425
-15000,-5000,67.49375054
-15000,-4500,67.37172432
-15000,-4000,67.24576457
-15000,-3500,67.11609866
-15000,-3000,66.98296196
-15000,-2500,66.846597
-15000,-2000,66.70725231
-15000,-1500,66.56518091
-15000,-1000,66.42063855
-15000,-500,66.27388188
-15000,0,66.12516646
-15000,500,65.97474493
-15000,1000,65.8228653
-15000,1500,65.66976952
-15000,2000,65.51569233
-15000,2500,65.36086056
-15000,3000,65.20549276
-15000,3500,65.04979919
-15000,4000,64.89398217
-15000,4500,64.73823662
-15000,5000,64.58275083
-15000,5500,64.42770723
-15000,6000,64.27328312
-15000,6500,64.11965132
-15000,7000,63.96698049
-15000,7500,63.81543528
-15000,8000,63.66517611
-15000,8500,63.51635863
-15000,9000,63.36913296
-15000,9500,63.22364262
-15000,10000,63.08002341
-15000,10500,62.93840213
-15000,11000,62.7988955
-15000,11500,62.6616091
-15000,12000,62.52663666
-15000,12500,62.39405959
-15000,13000,62.26394698
-15000,13500,62.13635588
-15000,14000,62.01133204
-15000,14500,61.8889109
-15000,15000,61.76911888
-15000,15500,61.65197482
-15000,16000,61.53749148
-15000,16500,61.4256769
-15000,17000,61.31653574
-15000,17500,61.21007021
-15000,18000,61.10628078
-15000,18500,61.00516647
-15000,19000,60.9067248
-15000,19500,60.8109514
-15000,20000,60.7178393
-15000,20500,60.62737807
-15000,21000,60.5395528
-15000,21500,60.45434313
-15000,22000,60.37172238
-15000,22500,60.29165689
-15000,23000,60.21410566
-15000,23500,60.13902028
-15000,24000,60.06634531
-15000,24500,59.99601891
-15000,25000,59.92797376
-15000,25500,59.86213831
-15000,26000,59.79843798
-15000,26500,59.73679651
-15000,27000,59.67713711
-15000,27500,59.61938345
-15000,28000,59.56346034
-15000,28500,59.50929406
-15000,29000,59.45681235
-15000,29500,59.40594395
-15000,30000,59.35661791
-15000,30500,59.30876262
-15000,31000,59.26230469
-15000,31500,59.21716786
-15000,32000,59.17327196
-15000,32500,59.13053211
-15000,33000,59.08885827
-15000,33500,59.04815519
-15000,34000,59.00832271
-15000,34500,58.96925663
-15000,35000,58.93084989
-15000,35500,58.89299407
-15000,36000,58.85558113
-15000,36500,58.81850526
-15000,37000,58.78166458
-15000,37500,58.74496275
-15000,38000,58.70831021
-15000,38500,58.67162499
-15000,39000,58.6348331
-15000,39500,58.59786836
-15000,40000,58.56067184
-15000,40500,58.52319083
-15000,41000,58.48537756
-15000,41500,58.44718772
-15000,42000,58.40857903
-15000,42500,58.36950994
-15000,43000,58.32993855
-15000,43500,58.28982213
